Nama_Lokasi,Jam_Login,Nama,Email,No_Telp,Tahun_Lahir,Merk_Hp,Digital_Interest,Location Type
Yogyakarta,7:40,User_24,user24@gmail.com,84792638146,2003,Samsung,Streaming,Kota
Bandung,8:08,User_25,user25@gmail.com,85496365450,1992,Vivo,Shopping,Kota
Denpasar,18:38,User_26,user26@gmail.com,87486596340,2008,Redmi,Gaming,Kota
Denpasar,22:23,User_27,user27@gmail.com,87725250518,1976,Oppo,Shopping,Desa
Depok,22:42,User_28,user28@gmail.com,87278876968,1975,Vivo,Social Media,Kota
Balikpapan,11:55,User_29,user29@gmail.com,88261265973,1995,Redmi,Streaming,Desa
Surabaya,13:02,User_30,user30@gmail.com,81089903975,2009,Xiaomi,Gaming,Desa
Balikpapan,12:21,User_31,user31@gmail.com,84663989759,1991,Xiaomi,Social Media,Kota
Surabaya,0:25,User_32,user32@gmail.com,84116971859,1972,Samsung,Gaming,Desa
Semarang,14:55,User_33,user33@gmail.com,81701829265,2006,Vivo,Social Media,Desa
Surabaya,1:25,User_34,user34@gmail.com,81278629047,2006,Redmi,Streaming,Kota
Bekasi,23:31,User_35,user35@gmail.com,86844924097,1986,Oppo,Gaming,Kota
Semarang,19:03,User_36,user36@gmail.com,85741050191,2002,Vivo,Shopping,Desa
Balikpapan,4:14,User_37,user37@gmail.com,84556263054,2010,Vivo,Gaming,Desa
Semarang,2:11,User_38,user38@gmail.com,89118926874,1987,Oppo,Shopping,Desa
Semarang,18:32,User_39,user39@gmail.com,87578901905,2008,Vivo,Social Media,Kota
Jakarta,7:28,User_40,user40@gmail.com,84695697188,1982,Apple,Streaming,Desa
Balikpapan,3:43,User_41,user41@gmail.com,86510598748,1980,Samsung,Gaming,Desa
Balikpapan,0:12,User_42,user42@gmail.com,85248310270,2006,Xiaomi,Streaming,Desa
Solo,14:04,User_43,user43@gmail.com,81357315928,1990,Oppo,Shopping,Desa
Yogyakarta,7:47,User_44,user44@gmail.com,87491748452,1998,Redmi,Social Media,Kota
Surabaya,16:17,User_45,user45@gmail.com,87556223096,1974,Xiaomi,Social Media,Desa
Semarang,4:41,User_46,user46@gmail.com,86052399511,1970,Vivo,Gaming,Desa
Balikpapan,21:53,User_47,user47@gmail.com,88069935650,1999,Apple,Gaming,Kota
Jakarta,20:52,User_48,user48@gmail.com,82180535003,2003,Apple,Gaming,Desa
Bandung,1:47,User_49,user49@gmail.com,83879259905,1975,Oppo,Shopping,Desa
Balikpapan,20:05,User_50,user50@gmail.com,85158346654,1998,Redmi,Social Media,Kota
Denpasar,19:29,User_51,user51@gmail.com,86881480865,2004,Redmi,Social Media,Kota
Jakarta,17:01,User_52,user52@gmail.com,83238582469,2000,Redmi,Streaming,Kota
Bandung,9:17,User_53,user53@gmail.com,86468322346,1994,Oppo,Gaming,Kota
Surabaya,1:16,User_54,user54@gmail.com,89256148084,1972,Samsung,Shopping,Desa
Bekasi,11:00,User_55,user55@gmail.com,84196543253,1994,Oppo,Gaming,Desa
Denpasar,19:53,User_56,user56@gmail.com,82953511701,2007,Oppo,Social Media,Kota
Jakarta,3:40,User_57,user57@gmail.com,87580646205,2002,Apple,Streaming,Kota
Denpasar,13:51,User_58,user58@gmail.com,81850826557,2000,Redmi,Shopping,Kota
Semarang,18:35,User_59,user59@gmail.com,89487592701,1993,Vivo,Gaming,Desa
Bekasi,8:57,User_60,user60@gmail.com,88261500083,2010,Apple,Shopping,Desa
Yogyakarta,7:09,User_61,user61@gmail.com,89923235022,1983,Redmi,Shopping,Desa
Balikpapan,21:31,User_62,user62@gmail.com,87815435440,2008,Xiaomi,Social Media,Kota
Semarang,22:59,User_63,user63@gmail.com,81279022891,1976,Oppo,Gaming,Desa
Balikpapan,2:30,User_64,user64@gmail.com,83685543947,2003,Redmi,Shopping,Kota
Bekasi,13:20,User_65,user65@gmail.com,81260733661,1977,Apple,Gaming,Kota
Semarang,9:14,User_66,user66@gmail.com,86305330978,1971,Redmi,Shopping,Kota
Yogyakarta,0:16,User_67,user67@gmail.com,88361509190,1980,Apple,Shopping,Kota
Balikpapan,1:05,User_68,user68@gmail.com,82447394159,2009,Oppo,Social Media,Desa
Jakarta,1:01,User_69,user69@gmail.com,89977168587,1991,Redmi,Streaming,Desa
Yogyakarta,14:15,User_70,user70@gmail.com,87724559392,1975,Redmi,Streaming,Desa
Balikpapan,23:21,User_71,user71@gmail.com,88164196993,1976,Xiaomi,Social Media,Kota
Solo,7:03,User_72,user72@gmail.com,87956061853,1981,Samsung,Social Media,Kota
Balikpapan,9:52,User_73,user73@gmail.com,88639047133,1979,Apple,Gaming,Kota
Solo,10:33,User_74,user74@gmail.com,87834675688,1973,Oppo,Shopping,Desa
Depok,15:44,User_75,user75@gmail.com,89260457614,1990,Samsung,Shopping,Kota
Balikpapan,0:25,User_76,user76@gmail.com,87602336187,1980,Oppo,Shopping,Kota
Semarang,1:36,User_77,user77@gmail.com,84282604070,2000,Apple,Shopping,Desa
Surabaya,18:43,User_78,user78@gmail.com,82905040387,1978,Apple,Gaming,Desa
Surabaya,17:38,User_79,user79@gmail.com,89260609069,1978,Oppo,Shopping,Kota
Solo,21:45,User_80,user80@gmail.com,85793364809,1989,Xiaomi,Gaming,Desa
Depok,23:59,User_81,user81@gmail.com,86927180579,1992,Vivo,Gaming,Kota
Depok,15:19,User_82,user82@gmail.com,88766437187,2001,Xiaomi,Streaming,Kota
Semarang,23:19,User_83,user83@gmail.com,82547304017,2001,Oppo,Streaming,Kota
Surabaya,5:40,User_84,user84@gmail.com,82069408831,2000,Vivo,Shopping,Desa
Balikpapan,21:55,User_85,user85@gmail.com,85645134845,1970,Vivo,Shopping,Kota
Yogyakarta,0:21,User_86,user86@gmail.com,81039527737,2009,Samsung,Gaming,Kota
Bandung,6:04,User_87,user87@gmail.com,83188876208,2002,Redmi,Gaming,Desa
Jakarta,11:18,User_88,user88@gmail.com,82661662251,2005,Apple,Streaming,Desa
Bandung,3:14,User_89,user89@gmail.com,89689102143,1989,Xiaomi,Social Media,Kota
Balikpapan,0:22,User_90,user90@gmail.com,82878840014,2005,Xiaomi,Streaming,Kota
Denpasar,13:20,User_91,user91@gmail.com,88437735487,1997,Xiaomi,Social Media,Desa
Denpasar,4:26,User_92,user92@gmail.com,88191325066,1986,Oppo,Shopping,Kota
Denpasar,12:47,User_93,user93@gmail.com,86471406637,2006,Redmi,Gaming,Kota
Yogyakarta,7:10,User_94,user94@gmail.com,87456037869,2010,Samsung,Gaming,Desa
Jakarta,15:14,User_95,user95@gmail.com,82646880136,1995,Apple,Social Media,Kota
Surabaya,19:47,User_96,user96@gmail.com,81830510874,2009,Redmi,Social Media,Desa
Bandung,21:19,User_97,user97@gmail.com,89697869819,1985,Vivo,Streaming,Kota
Yogyakarta,13:59,User_98,user98@gmail.com,84738330054,1983,Xiaomi,Shopping,Desa
Bandung,17:15,User_99,user99@gmail.com,84311404318,2007,Oppo,Streaming,Kota
Balikpapan,19:47,User_100,user100@gmail.com,87975763788,1978,Xiaomi,Social Media,Kota
Surabaya,13:27,User_101,user101@gmail.com,86896253112,2000,Vivo,Shopping,Desa
Balikpapan,16:00,User_102,user102@gmail.com,84739706854,1970,Xiaomi,Gaming,Kota
Surabaya,11:19,User_103,user103@gmail.com,85550854516,2003,Redmi,Social Media,Kota
Bandung,22:06,User_104,user104@gmail.com,89961837883,1995,Xiaomi,Streaming,Desa
Solo,3:56,User_105,user105@gmail.com,85741495320,2006,Redmi,Gaming,Desa
Yogyakarta,1:39,User_106,user106@gmail.com,81771550028,1979,Apple,Streaming,Kota
Yogyakarta,0:20,User_107,user107@gmail.com,87211840559,1981,Redmi,Streaming,Desa
Denpasar,11:40,User_108,user108@gmail.com,87850607976,1998,Xiaomi,Social Media,Desa
Semarang,2:07,User_109,user109@gmail.com,83627646817,1975,Apple,Streaming,Kota
Surabaya,0:38,User_110,user110@gmail.com,87380049505,1999,Samsung,Streaming,Kota
Yogyakarta,7:48,User_111,user111@gmail.com,89367410686,1996,Apple,Gaming,Desa
Depok,12:43,User_112,user112@gmail.com,87964108882,2010,Redmi,Streaming,Desa
Balikpapan,0:40,User_113,user113@gmail.com,89416698352,1984,Apple,Social Media,Kota
Semarang,4:08,User_114,user114@gmail.com,84471620749,1988,Redmi,Shopping,Desa
Solo,14:03,User_115,user115@gmail.com,87911387649,1982,Oppo,Social Media,Kota
Solo,13:43,User_116,user116@gmail.com,87565849335,1987,Vivo,Shopping,Kota
Surabaya,9:04,User_117,user117@gmail.com,88701275840,1992,Apple,Shopping,Kota
Solo,4:02,User_118,user118@gmail.com,85385628818,1978,Redmi,Gaming,Desa
Denpasar,1:40,User_119,user119@gmail.com,82874392917,1983,Apple,Shopping,Kota
Bekasi,11:30,User_120,user120@gmail.com,81782492177,2008,Redmi,Social Media,Desa
Semarang,14:33,User_121,user121@gmail.com,86000750665,2006,Oppo,Gaming,Kota
Yogyakarta,4:18,User_122,user122@gmail.com,85468008329,1997,Vivo,Gaming,Kota
Solo,9:19,User_123,user123@gmail.com,84186524124,1989,Samsung,Streaming,Kota
Yogyakarta,5:37,User_124,user124@gmail.com,84138300210,2002,Samsung,Streaming,Kota
Balikpapan,10:53,User_125,user125@gmail.com,88993907392,2005,Redmi,Social Media,Desa
Bekasi,15:01,User_126,user126@gmail.com,89031976035,1990,Vivo,Social Media,Desa
Solo,15:29,User_127,user127@gmail.com,81349539724,1995,Redmi,Social Media,Desa
Bekasi,16:21,User_128,user128@gmail.com,81840585169,1971,Xiaomi,Social Media,Kota
Surabaya,4:39,User_129,user129@gmail.com,87865304528,2007,Xiaomi,Social Media,Kota
Depok,23:39,User_130,user130@gmail.com,82849162730,2008,Redmi,Shopping,Kota
Balikpapan,22:41,User_131,user131@gmail.com,82668576239,1973,Samsung,Streaming,Kota
Bekasi,7:16,User_132,user132@gmail.com,87402153722,1981,Xiaomi,Shopping,Desa
Bekasi,18:43,User_133,user133@gmail.com,82558253110,1981,Oppo,Shopping,Desa
Bandung,18:23,User_134,user134@gmail.com,89123148076,1991,Xiaomi,Streaming,Desa
Bandung,13:54,User_135,user135@gmail.com,85587741637,1970,Vivo,Gaming,Desa
Semarang,21:50,User_136,user136@gmail.com,84071773267,1984,Xiaomi,Social Media,Kota
Denpasar,13:25,User_137,user137@gmail.com,86632120965,1983,Xiaomi,Streaming,Desa
Bandung,10:09,User_138,user138@gmail.com,84958122028,1976,Redmi,Social Media,Desa
Balikpapan,7:55,User_139,user139@gmail.com,84305646906,2007,Samsung,Shopping,Desa
Jakarta,16:00,User_140,user140@gmail.com,89523942127,2006,Samsung,Streaming,Kota
Bekasi,0:26,User_141,user141@gmail.com,84165004565,1988,Xiaomi,Social Media,Kota
Bekasi,9:49,User_142,user142@gmail.com,85716548129,1993,Apple,Social Media,Desa
Balikpapan,14:13,User_143,user143@gmail.com,86008620986,1996,Vivo,Social Media,Desa
Semarang,16:36,User_144,user144@gmail.com,84882909343,1983,Samsung,Streaming,Kota
Balikpapan,10:00,User_145,user145@gmail.com,85137358730,2005,Redmi,Shopping,Desa
Semarang,12:34,User_146,user146@gmail.com,89059601611,1991,Samsung,Gaming,Kota
Solo,16:12,User_147,user147@gmail.com,84613194736,1974,Oppo,Gaming,Kota
Denpasar,0:54,User_148,user148@gmail.com,82257652100,2009,Xiaomi,Streaming,Desa
Yogyakarta,11:44,User_149,user149@gmail.com,84842410381,1978,Apple,Streaming,Desa
Surabaya,13:03,User_150,user150@gmail.com,84045504115,2010,Oppo,Shopping,Kota
Balikpapan,0:51,User_151,user151@gmail.com,82020790488,1973,Vivo,Shopping,Desa
Bekasi,22:03,User_152,user152@gmail.com,86263477803,1974,Xiaomi,Streaming,Desa
Yogyakarta,13:44,User_153,user153@gmail.com,87405702669,1980,Redmi,Gaming,Kota
Depok,8:21,User_154,user154@gmail.com,83905666715,2009,Redmi,Streaming,Kota
Semarang,1:34,User_155,user155@gmail.com,86395405231,1976,Redmi,Shopping,Desa
Yogyakarta,1:37,User_156,user156@gmail.com,88817437915,2007,Oppo,Social Media,Desa
Denpasar,10:45,User_157,user157@gmail.com,89926095879,2005,Oppo,Shopping,Desa
Denpasar,3:55,User_158,user158@gmail.com,82053615543,1977,Apple,Shopping,Kota
Solo,1:33,User_159,user159@gmail.com,81096286818,2003,Redmi,Streaming,Desa
Jakarta,12:35,User_160,user160@gmail.com,83329328423,1983,Apple,Streaming,Kota
Semarang,7:27,User_161,user161@gmail.com,81996015608,1970,Redmi,Shopping,Desa
Yogyakarta,8:47,User_162,user162@gmail.com,81366948327,1981,Xiaomi,Streaming,Kota
Surabaya,12:21,User_163,user163@gmail.com,88990335128,1985,Vivo,Streaming,Kota
Denpasar,23:31,User_164,user164@gmail.com,86337561704,1982,Xiaomi,Shopping,Desa
Bandung,2:15,User_165,user165@gmail.com,83812727139,1994,Oppo,Shopping,Kota
Semarang,6:10,User_166,user166@gmail.com,89573399182,2007,Xiaomi,Gaming,Kota
Jakarta,19:06,User_167,user167@gmail.com,88406581276,1991,Samsung,Gaming,Kota
Balikpapan,16:42,User_168,user168@gmail.com,84432931481,2000,Xiaomi,Shopping,Kota
Yogyakarta,0:30,User_169,user169@gmail.com,82670522909,2001,Samsung,Gaming,Kota
Solo,7:24,User_170,user170@gmail.com,89416613274,1975,Redmi,Streaming,Kota
Bekasi,19:11,User_171,user171@gmail.com,86535300029,1971,Samsung,Social Media,Kota
Balikpapan,12:23,User_172,user172@gmail.com,88826496620,1988,Redmi,Streaming,Kota
Bandung,16:05,User_173,user173@gmail.com,87405419310,1979,Oppo,Gaming,Kota
Depok,13:09,User_174,user174@gmail.com,87614846542,2005,Xiaomi,Streaming,Kota
Semarang,9:18,User_175,user175@gmail.com,81803546906,2007,Redmi,Shopping,Kota
Depok,10:24,User_176,user176@gmail.com,83684331543,1976,Oppo,Social Media,Kota
Jakarta,7:36,User_177,user177@gmail.com,89140399044,2010,Xiaomi,Gaming,Kota
Balikpapan,18:24,User_178,user178@gmail.com,83483577795,1995,Vivo,Shopping,Desa
Yogyakarta,17:17,User_179,user179@gmail.com,87008449508,2000,Oppo,Gaming,Kota
Yogyakarta,5:52,User_180,user180@gmail.com,87063209054,2005,Redmi,Streaming,Kota
Bandung,10:41,User_181,user181@gmail.com,88368274892,1998,Xiaomi,Streaming,Kota
Bandung,2:01,User_182,user182@gmail.com,88217327893,1974,Apple,Shopping,Desa
Depok,4:43,User_183,user183@gmail.com,89859075012,1984,Oppo,Social Media,Desa
Yogyakarta,22:09,User_184,user184@gmail.com,88972909402,2001,Redmi,Social Media,Desa
Jakarta,13:20,User_185,user185@gmail.com,86358582724,2007,Samsung,Social Media,Desa
Surabaya,16:34,User_186,user186@gmail.com,83194230280,1986,Xiaomi,Shopping,Desa
Semarang,3:59,User_187,user187@gmail.com,86610226041,2009,Apple,Shopping,Desa
Bandung,13:18,User_188,user188@gmail.com,83481225941,1993,Samsung,Shopping,Desa
Yogyakarta,0:47,User_189,user189@gmail.com,84096739858,2000,Redmi,Shopping,Desa
Bandung,13:39,User_190,user190@gmail.com,83631221670,1988,Vivo,Social Media,Desa
Surabaya,20:09,User_191,user191@gmail.com,82537590690,1980,Redmi,Gaming,Desa
Depok,15:05,User_192,user192@gmail.com,87537877519,2005,Redmi,Social Media,Desa
Yogyakarta,13:37,User_193,user193@gmail.com,89248036410,1986,Samsung,Streaming,Desa
Solo,19:20,User_194,user194@gmail.com,86105918316,1980,Xiaomi,Gaming,Desa
Bekasi,19:54,User_195,user195@gmail.com,84703059174,1974,Apple,Streaming,Desa
Solo,18:15,User_196,user196@gmail.com,86828302172,1974,Xiaomi,Streaming,Kota
Balikpapan,23:11,User_197,user197@gmail.com,89220908756,1989,Samsung,Social Media,Kota
Bandung,7:53,User_198,user198@gmail.com,86842902255,1979,Apple,Streaming,Desa
Depok,5:50,User_199,user199@gmail.com,81874618530,2010,Samsung,Shopping,Kota
Surabaya,17:21,User_200,user200@gmail.com,84742516808,1977,Samsung,Gaming,Kota
Depok,5:50,User_201,user201@gmail.com,85168204110,2001,Xiaomi,Streaming,Desa
Depok,1:12,User_202,user202@gmail.com,88674917773,2005,Vivo,Shopping,Kota
Solo,15:53,User_203,user203@gmail.com,85853347412,1996,Apple,Social Media,Desa
Surabaya,9:22,User_204,user204@gmail.com,81714882247,2007,Xiaomi,Gaming,Kota
Bekasi,17:12,User_205,user205@gmail.com,81856706122,1971,Xiaomi,Social Media,Desa
Depok,19:23,User_206,user206@gmail.com,83481619750,1975,Vivo,Social Media,Desa
Depok,21:30,User_207,user207@gmail.com,84408708710,1997,Xiaomi,Streaming,Desa
Depok,23:50,User_208,user208@gmail.com,89527887778,1973,Oppo,Shopping,Kota
Semarang,10:55,User_209,user209@gmail.com,83056716648,1983,Apple,Social Media,Desa
Bandung,0:21,User_210,user210@gmail.com,88199578623,1986,Samsung,Gaming,Desa
Jakarta,0:39,User_211,user211@gmail.com,81732167953,1996,Xiaomi,Gaming,Kota
Balikpapan,4:56,User_212,user212@gmail.com,82389592742,2006,Vivo,Shopping,Kota
Jakarta,19:33,User_213,user213@gmail.com,82971411193,1982,Oppo,Social Media,Desa
Yogyakarta,13:20,User_214,user214@gmail.com,82032040842,1986,Apple,Streaming,Kota
Jakarta,6:13,User_215,user215@gmail.com,83300376032,2010,Samsung,Social Media,Kota
Balikpapan,11:10,User_216,user216@gmail.com,82768880263,2004,Oppo,Streaming,Kota
Balikpapan,1:41,User_217,user217@gmail.com,87451723140,2001,Redmi,Shopping,Desa
Bandung,4:05,User_218,user218@gmail.com,88072221610,2004,Samsung,Social Media,Desa
Depok,6:19,User_219,user219@gmail.com,81489060078,1990,Xiaomi,Shopping,Kota
Jakarta,5:50,User_220,user220@gmail.com,84644529444,1972,Apple,Social Media,Desa
Yogyakarta,5:28,User_221,user221@gmail.com,85435575445,1996,Oppo,Gaming,Desa
Solo,1:16,User_222,user222@gmail.com,85904695002,2002,Oppo,Gaming,Kota
Surabaya,17:46,User_223,user223@gmail.com,85766503819,2007,Vivo,Shopping,Desa
Bekasi,4:59,User_224,user224@gmail.com,83698244857,1991,Apple,Gaming,Desa
Jakarta,15:26,User_225,user225@gmail.com,89904486985,1999,Vivo,Gaming,Kota
Solo,22:12,User_226,user226@gmail.com,88404371378,1994,Xiaomi,Gaming,Desa
Surabaya,20:26,User_227,user227@gmail.com,87830547803,2000,Apple,Shopping,Desa
Surabaya,20:37,User_228,user228@gmail.com,85911609788,1981,Redmi,Shopping,Desa
Semarang,10:53,User_229,user229@gmail.com,89563684654,2004,Xiaomi,Social Media,Desa
Jakarta,16:57,User_230,user230@gmail.com,87804098392,1997,Xiaomi,Streaming,Desa
Solo,22:35,User_231,user231@gmail.com,81587341553,2001,Oppo,Gaming,Desa
Bekasi,6:49,User_232,user232@gmail.com,82759331687,1984,Vivo,Shopping,Desa
Bekasi,18:01,User_233,user233@gmail.com,88877293568,2009,Oppo,Streaming,Kota
Balikpapan,2:14,User_234,user234@gmail.com,89292331358,2005,Redmi,Shopping,Desa
Balikpapan,17:33,User_235,user235@gmail.com,89804525346,1996,Vivo,Gaming,Kota
Denpasar,19:11,User_236,user236@gmail.com,86678269397,1987,Oppo,Streaming,Kota
Depok,5:08,User_237,user237@gmail.com,86771998183,2009,Samsung,Streaming,Desa
Denpasar,2:42,User_238,user238@gmail.com,85652509473,1974,Samsung,Gaming,Desa
Surabaya,11:04,User_239,user239@gmail.com,85853495148,2007,Oppo,Gaming,Desa
Solo,9:05,User_240,user240@gmail.com,83630923335,1991,Apple,Gaming,Kota
Semarang,6:38,User_241,user241@gmail.com,89178888819,1983,Samsung,Social Media,Desa
Semarang,20:44,User_242,user242@gmail.com,86503045662,1972,Apple,Social Media,Kota
Solo,12:34,User_243,user243@gmail.com,87772075768,1996,Oppo,Streaming,Kota
Solo,16:39,User_244,user244@gmail.com,86393580545,2001,Redmi,Shopping,Kota
Jakarta,21:50,User_245,user245@gmail.com,89147983145,2006,Xiaomi,Social Media,Kota
Jakarta,21:54,User_246,user246@gmail.com,86787531066,1985,Redmi,Social Media,Kota
Yogyakarta,8:46,User_247,user247@gmail.com,86978735466,1999,Redmi,Gaming,Desa
Yogyakarta,14:16,User_248,user248@gmail.com,81870211121,1980,Samsung,Gaming,Kota
Balikpapan,10:55,User_249,user249@gmail.com,87827050424,2002,Apple,Shopping,Desa
Depok,7:05,User_250,user250@gmail.com,86823608115,2009,Apple,Gaming,Desa
Semarang,20:06,User_251,user251@gmail.com,89429892497,2003,Xiaomi,Shopping,Desa
Denpasar,23:05,User_252,user252@gmail.com,84025747746,1997,Vivo,Streaming,Kota
Yogyakarta,21:13,User_253,user253@gmail.com,81828580574,1984,Samsung,Gaming,Desa
Semarang,9:08,User_254,user254@gmail.com,88458173347,1980,Apple,Gaming,Kota
Denpasar,5:58,User_255,user255@gmail.com,82845570341,2009,Redmi,Shopping,Kota
Semarang,15:54,User_256,user256@gmail.com,86273817559,1979,Oppo,Shopping,Kota
Depok,13:06,User_257,user257@gmail.com,88292191767,1981,Redmi,Gaming,Desa
Balikpapan,3:47,User_258,user258@gmail.com,84394272210,1979,Vivo,Streaming,Kota
Yogyakarta,13:51,User_259,user259@gmail.com,83831680054,1976,Oppo,Social Media,Kota
Jakarta,16:05,User_260,user260@gmail.com,86416272919,1975,Samsung,Streaming,Desa
Balikpapan,22:09,User_261,user261@gmail.com,85262751009,1979,Samsung,Shopping,Desa
Depok,5:46,User_262,user262@gmail.com,86017948026,1978,Samsung,Shopping,Kota
Jakarta,5:47,User_263,user263@gmail.com,89038642438,1986,Oppo,Shopping,Desa
Surabaya,4:25,User_264,user264@gmail.com,88870366515,1985,Vivo,Shopping,Kota
Denpasar,18:09,User_265,user265@gmail.com,82470802081,1982,Oppo,Social Media,Kota
Jakarta,10:07,User_266,user266@gmail.com,83783893150,2002,Vivo,Social Media,Kota
Solo,2:23,User_267,user267@gmail.com,87196466802,2004,Oppo,Shopping,Desa
Depok,12:36,User_268,user268@gmail.com,83580639942,1995,Samsung,Streaming,Kota
Semarang,21:48,User_269,user269@gmail.com,88031350987,1994,Redmi,Social Media,Kota
Jakarta,4:45,User_270,user270@gmail.com,88457253068,2002,Apple,Social Media,Kota
Denpasar,13:06,User_271,user271@gmail.com,88187634383,2007,Xiaomi,Social Media,Desa
Depok,22:22,User_272,user272@gmail.com,85311475101,2005,Samsung,Social Media,Desa
Yogyakarta,7:18,User_273,user273@gmail.com,84424395861,1984,Xiaomi,Social Media,Desa
Yogyakarta,7:31,User_274,user274@gmail.com,87224148998,1989,Xiaomi,Streaming,Desa
Solo,6:00,User_275,user275@gmail.com,85080190053,1975,Redmi,Social Media,Desa
Bekasi,3:40,User_276,user276@gmail.com,88693969359,1983,Oppo,Shopping,Desa
Solo,21:26,User_277,user277@gmail.com,85886382475,1996,Oppo,Shopping,Kota
Yogyakarta,8:26,User_278,user278@gmail.com,82454857862,1990,Oppo,Social Media,Desa
Depok,19:42,User_279,user279@gmail.com,86822451626,1998,Samsung,Social Media,Desa
Solo,19:18,User_280,user280@gmail.com,86340352580,2000,Vivo,Social Media,Kota
Depok,13:55,User_281,user281@gmail.com,86972326396,1990,Vivo,Streaming,Desa
Balikpapan,14:50,User_282,user282@gmail.com,88362894977,2010,Apple,Gaming,Desa
Bekasi,7:22,User_283,user283@gmail.com,88555852034,1986,Apple,Shopping,Kota
Semarang,4:28,User_284,user284@gmail.com,85429920524,1994,Apple,Streaming,Kota
Bandung,21:30,User_285,user285@gmail.com,88529313682,1987,Vivo,Gaming,Kota
Jakarta,7:16,User_286,user286@gmail.com,87344816378,1992,Oppo,Shopping,Kota
Bekasi,21:15,User_287,user287@gmail.com,83785645541,1974,Oppo,Streaming,Kota
Jakarta,3:57,User_288,user288@gmail.com,86257263393,1999,Samsung,Shopping,Desa
Denpasar,9:47,User_289,user289@gmail.com,82615323406,2001,Samsung,Shopping,Desa
Balikpapan,0:06,User_290,user290@gmail.com,87678713388,1983,Redmi,Gaming,Desa
Jakarta,1:05,User_291,user291@gmail.com,82176899008,1979,Vivo,Social Media,Desa
Denpasar,16:28,User_292,user292@gmail.com,87803228337,1984,Xiaomi,Gaming,Kota
Depok,22:39,User_293,user293@gmail.com,82292258631,1970,Xiaomi,Shopping,Kota
Yogyakarta,5:56,User_294,user294@gmail.com,83478525583,1980,Apple,Gaming,Kota
Surabaya,23:53,User_295,user295@gmail.com,81401449036,2004,Apple,Streaming,Desa
Denpasar,11:36,User_296,user296@gmail.com,84579205372,1999,Vivo,Social Media,Kota
Surabaya,3:24,User_297,user297@gmail.com,89212207122,1981,Xiaomi,Social Media,Desa
Jakarta,7:25,User_298,user298@gmail.com,88260806312,2001,Xiaomi,Gaming,Kota
Balikpapan,4:59,User_299,user299@gmail.com,89090306848,1970,Samsung,Shopping,Kota
Bekasi,11:18,User_300,user300@gmail.com,82609600177,1999,Vivo,Social Media,Desa
Bekasi,2:40,User_301,user301@gmail.com,88049788149,2004,Redmi,Streaming,Kota
Bekasi,10:32,User_302,user302@gmail.com,85276277154,1982,Apple,Shopping,Kota
Yogyakarta,20:05,User_303,user303@gmail.com,85944326372,1975,Xiaomi,Gaming,Desa
Bandung,15:28,User_304,user304@gmail.com,81894534679,2001,Xiaomi,Gaming,Desa
Balikpapan,11:57,User_305,user305@gmail.com,84497473419,1982,Xiaomi,Shopping,Desa
Yogyakarta,19:19,User_306,user306@gmail.com,89320238450,1990,Samsung,Streaming,Kota
Semarang,22:40,User_307,user307@gmail.com,81114048306,1994,Samsung,Social Media,Kota
